name,code
Tous publics,TP
Non déterminé,ND
Tous publics avec avertissement,TPA
Non recommandé avant 10 ans, 10
Interdiction aux moins de 12 ans,12
Interdiction aux moins de 13 ans,13
Interdiction aux moins de 16 ans,16
Interdiction aux moins de 18 ans,18
Interdiction aux moins de 12 ans avec avertissement,12A
Interdiction aux moins de 13 ans avec avertissement,13A
Interdiction aux moins de 16 ans avec avertissement,16A
Interdiction aux moins de 18 ans avec avertissement,18A
Pornographie,X
Interdiction, INTERDICTION